dzien,otwarcie,max,min,zamkniecie,zmiana
1,392.4,418.2,392.4,406,4.24
2,411.2,426,404.7,425,4.68
3,426,428,418,421,-0.94
4,422.8,443.5,422.5,443,5.23
7,446.5,464.2,401.9,425.1,-4.04
8,400,410.4,385,395,-7.08
9,399.7,412.1,383.2,395.8,0.2
10,391.5,401.1,358.3,362,-8.54
11,358.8,358.8,308.3,320.5,-11.46
14,265,298,238.5,296.1,-7.61
15,303.8,316.8,294,300,1.32
16,299.3,304,290,300,0
17,305,313.9,305,309.2,3.07
18,260,272.6,242.5,271.4,-12.23
21,260,265.3,248,256,-5.67
22,262.6,275.9,262,267.7,4.57
23,275,275.6,252,269,0.49
28,265,274,257.1,274,1.86
29,279.5,285.2,274.4,280.5,2.37
30,280.5,280.5,270.4,274.7,-2.07
